group,variable,value,datatype,min_val,max_val
NU_IDADE,190002877812,18,int,13.0,77.0
NU_IDADE,190005808845,16,int,13.0,77.0
NU_IDADE,190004870899,19,int,13.0,77.0
NU_IDADE,190001722639,19,int,13.0,77.0
NU_IDADE,190006099760,22,int,13.0,77.0
NU_IDADE,190001729254,22,int,13.0,77.0
NU_IDADE,190003400057,18,int,13.0,77.0
NU_IDADE,190001732213,20,int,13.0,77.0
NU_IDADE,190002691889,19,int,13.0,77.0
NU_IDADE,190002645231,18,int,13.0,77.0
NU_IDADE,190001727451,25,int,13.0,77.0
NU_IDADE,190002679654,33,int,13.0,77.0
NU_IDADE,190004715849,18,int,13.0,77.0
NU_IDADE,190004460871,23,int,13.0,77.0
NU_IDADE,190002678206,20,int,13.0,77.0
NU_IDADE,190003836926,19,int,13.0,77.0
NU_IDADE,190001704944,17,int,13.0,77.0
NU_IDADE,190004500659,20,int,13.0,77.0
NU_IDADE,190004679623,21,int,13.0,77.0
NU_IDADE,190004267251,20,int,13.0,77.0
NU_IDADE,190002652299,22,int,13.0,77.0
NU_IDADE,190001714838,19,int,13.0,77.0
NU_IDADE,190005915473,21,int,13.0,77.0
NU_IDADE,190001736653,18,int,13.0,77.0
NU_IDADE,190001729668,20,int,13.0,77.0
NU_IDADE,190002665917,19,int,13.0,77.0
NU_IDADE,190002686088,19,int,13.0,77.0
NU_IDADE,190002674654,16,int,13.0,77.0
NU_IDADE,190004676256,17,int,13.0,77.0
NU_IDADE,190005812004,19,int,13.0,77.0
NU_IDADE,190004890042,19,int,13.0,77.0
NU_IDADE,190003827071,19,int,13.0,77.0
NU_IDADE,190001692769,19,int,13.0,77.0
NU_IDADE,190004503999,21,int,13.0,77.0
NU_IDADE,190001724565,19,int,13.0,77.0
NU_IDADE,190001753881,36,int,13.0,77.0
NU_IDADE,190003827007,19,int,13.0,77.0
NU_IDADE,190004800055,20,int,13.0,77.0
NU_IDADE,190001689667,19,int,13.0,77.0
NU_IDADE,190003393787,19,int,13.0,77.0
NU_IDADE,190004809121,20,int,13.0,77.0
NU_IDADE,190002688890,18,int,13.0,77.0
NU_IDADE,190004466660,27,int,13.0,77.0
NU_IDADE,190004880743,20,int,13.0,77.0
NU_IDADE,190001718286,23,int,13.0,77.0
NU_IDADE,190002654548,19,int,13.0,77.0
