group,variable,value,datatype,min_val,max_val
NU_IDADE,190002674757,37,int,13.0,77.0
NU_IDADE,190001738081,19,int,13.0,77.0
NU_IDADE,190001727806,19,int,13.0,77.0
NU_IDADE,190004497688,17,int,13.0,77.0
NU_IDADE,190001724022,24,int,13.0,77.0
NU_IDADE,190001747093,18,int,13.0,77.0
NU_IDADE,190002907060,16,int,13.0,77.0
NU_IDADE,190001715605,20,int,13.0,77.0
NU_IDADE,190005251476,23,int,13.0,77.0
NU_IDADE,190005251674,29,int,13.0,77.0
NU_IDADE,190002910068,26,int,13.0,77.0
NU_IDADE,190005971150,31,int,13.0,77.0
NU_IDADE,190002897351,23,int,13.0,77.0
NU_IDADE,190004467102,19,int,13.0,77.0
NU_IDADE,190004280376,21,int,13.0,77.0
NU_IDADE,190005948658,22,int,13.0,77.0
NU_IDADE,190003868876,18,int,13.0,77.0
NU_IDADE,190004796874,22,int,13.0,77.0
NU_IDADE,190004485219,27,int,13.0,77.0
NU_IDADE,190004848187,21,int,13.0,77.0
NU_IDADE,190004043078,19,int,13.0,77.0
NU_IDADE,190002658381,20,int,13.0,77.0
NU_IDADE,190003849992,30,int,13.0,77.0
NU_IDADE,190005952960,16,int,13.0,77.0
NU_IDADE,190001726089,20,int,13.0,77.0
NU_IDADE,190005248617,23,int,13.0,77.0
NU_IDADE,190004845300,21,int,13.0,77.0
NU_IDADE,190004479167,38,int,13.0,77.0
NU_IDADE,190005213739,27,int,13.0,77.0
NU_IDADE,190004877969,17,int,13.0,77.0
NU_IDADE,190002903576,17,int,13.0,77.0
NU_IDADE,190004877593,25,int,13.0,77.0
NU_IDADE,190001703677,18,int,13.0,77.0
NU_IDADE,190004784736,19,int,13.0,77.0
NU_IDADE,190005932471,17,int,13.0,77.0
NU_IDADE,190005959866,44,int,13.0,77.0
NU_IDADE,190002661587,19,int,13.0,77.0
NU_IDADE,190002880679,21,int,13.0,77.0
NU_IDADE,190005971367,18,int,13.0,77.0
NU_IDADE,190002652326,25,int,13.0,77.0
NU_IDADE,190001700318,18,int,13.0,77.0
