group,variable,value,datatype,min_val,max_val
NU_IDADE,190002907060,16,int,13.0,77.0
NU_IDADE,190005216284,18,int,13.0,77.0
NU_IDADE,190003836784,16,int,13.0,77.0
NU_IDADE,190004043078,19,int,13.0,77.0
NU_IDADE,190002896801,19,int,13.0,77.0
NU_IDADE,190002641159,18,int,13.0,77.0
NU_IDADE,190001739694,18,int,13.0,77.0
NU_IDADE,190005961384,40,int,13.0,77.0
NU_IDADE,190005210773,47,int,13.0,77.0
NU_IDADE,190002691441,19,int,13.0,77.0
NU_IDADE,190005797630,27,int,13.0,77.0
NU_IDADE,190004873931,22,int,13.0,77.0
NU_IDADE,190004880646,18,int,13.0,77.0
NU_IDADE,190005251806,32,int,13.0,77.0
NU_IDADE,190004270398,20,int,13.0,77.0
NU_IDADE,190001738189,27,int,13.0,77.0
NU_IDADE,190004491783,27,int,13.0,77.0
NU_IDADE,190005246053,19,int,13.0,77.0
NU_IDADE,190002647885,23,int,13.0,77.0
NU_IDADE,190002658424,18,int,13.0,77.0
NU_IDADE,190005932466,19,int,13.0,77.0
NU_IDADE,190001731443,26,int,13.0,77.0
NU_IDADE,190003827011,23,int,13.0,77.0
NU_IDADE,190005948079,21,int,13.0,77.0
NU_IDADE,190001738711,26,int,13.0,77.0
NU_IDADE,190004787651,29,int,13.0,77.0
NU_IDADE,190001703572,38,int,13.0,77.0
NU_IDADE,190004708961,18,int,13.0,77.0
NU_IDADE,190002896744,23,int,13.0,77.0
NU_IDADE,190001704754,18,int,13.0,77.0
NU_IDADE,190005214231,18,int,13.0,77.0
NU_IDADE,190004046601,17,int,13.0,77.0
NU_IDADE,190005952312,19,int,13.0,77.0
NU_IDADE,190002645161,34,int,13.0,77.0
NU_IDADE,190004485409,19,int,13.0,77.0
NU_IDADE,190005228299,22,int,13.0,77.0
NU_IDADE,190003852950,19,int,13.0,77.0
NU_IDADE,190001707632,21,int,13.0,77.0
NU_IDADE,190004851165,17,int,13.0,77.0
NU_IDADE,190002641448,22,int,13.0,77.0
NU_IDADE,190004492085,19,int,13.0,77.0
NU_IDADE,190002864669,17,int,13.0,77.0
NU_IDADE,190005251771,41,int,13.0,77.0
NU_IDADE,190002658871,20,int,13.0,77.0
NU_IDADE,190005932405,23,int,13.0,77.0
NU_IDADE,190005971150,31,int,13.0,77.0
NU_IDADE,190004871427,20,int,13.0,77.0
NU_IDADE,190005936917,18,int,13.0,77.0
NU_IDADE,190001696370,18,int,13.0,77.0
NU_IDADE,190004905259,18,int,13.0,77.0
NU_IDADE,190004263905,36,int,13.0,77.0
NU_IDADE,190002900182,22,int,13.0,77.0
NU_IDADE,190002688522,17,int,13.0,77.0
NU_IDADE,190001739009,18,int,13.0,77.0
NU_IDADE,190003846508,21,int,13.0,77.0
NU_IDADE,190003846633,18,int,13.0,77.0
NU_IDADE,190002664917,43,int,13.0,77.0
NU_IDADE,190001721293,19,int,13.0,77.0
NU_IDADE,190004260644,17,int,13.0,77.0
NU_IDADE,190004470208,22,int,13.0,77.0
NU_IDADE,190005240672,17,int,13.0,77.0
NU_IDADE,190001713699,23,int,13.0,77.0
NU_IDADE,190002692694,18,int,13.0,77.0
NU_IDADE,190005957560,51,int,13.0,77.0
NU_IDADE,190002910363,18,int,13.0,77.0
NU_IDADE,190002641696,27,int,13.0,77.0
NU_IDADE,190005955542,41,int,13.0,77.0
NU_IDADE,190001700342,18,int,13.0,77.0
NU_IDADE,190002877763,18,int,13.0,77.0
NU_IDADE,190004482163,26,int,13.0,77.0
NU_IDADE,190003830761,30,int,13.0,77.0
NU_IDADE,190001690725,23,int,13.0,77.0
NU_IDADE,190004790769,16,int,13.0,77.0
NU_IDADE,190004053125,21,int,13.0,77.0
NU_IDADE,190001731267,19,int,13.0,77.0
NU_IDADE,190004501240,39,int,13.0,77.0
NU_IDADE,190004718812,19,int,13.0,77.0
NU_IDADE,190004867669,19,int,13.0,77.0
