group,variable,value,datatype,min_val,max_val
NU_IDADE,190001724022,24,int,13.0,77.0
NU_IDADE,190002674757,37,int,13.0,77.0
NU_IDADE,190005945077,56,int,13.0,77.0
NU_IDADE,190001721297,21,int,13.0,77.0
NU_IDADE,190004719162,34,int,13.0,77.0
NU_IDADE,190002662134,21,int,13.0,77.0
NU_IDADE,190003380314,23,int,13.0,77.0
NU_IDADE,190004873931,22,int,13.0,77.0
NU_IDADE,190002688419,38,int,13.0,77.0
NU_IDADE,190002642042,17,int,13.0,77.0
NU_IDADE,190001694347,30,int,13.0,77.0
NU_IDADE,190005228707,21,int,13.0,77.0
NU_IDADE,190004889487,24,int,13.0,77.0
NU_IDADE,190005963714,77,int,13.0,77.0
NU_IDADE,190005927312,17,int,13.0,77.0
NU_IDADE,190004883582,19,int,13.0,77.0
NU_IDADE,190002679411,18,int,13.0,77.0
NU_IDADE,190004883914,18,int,13.0,77.0
NU_IDADE,190003853172,19,int,13.0,77.0
NU_IDADE,190005937716,25,int,13.0,77.0
NU_IDADE,190001708225,18,int,13.0,77.0
NU_IDADE,190001732714,24,int,13.0,77.0
NU_IDADE,190001710512,22,int,13.0,77.0
NU_IDADE,190001738939,24,int,13.0,77.0
NU_IDADE,190003705325,22,int,13.0,77.0
NU_IDADE,190001695276,17,int,13.0,77.0
NU_IDADE,190004839316,20,int,13.0,77.0
NU_IDADE,190001707543,19,int,13.0,77.0
NU_IDADE,190004771918,16,int,13.0,77.0
NU_IDADE,190005973879,55,int,13.0,77.0
NU_IDADE,190001715120,18,int,13.0,77.0
NU_IDADE,190002665401,33,int,13.0,77.0
NU_IDADE,190005908239,17,int,13.0,77.0
NU_IDADE,190004504587,20,int,13.0,77.0
NU_IDADE,190001701058,27,int,13.0,77.0
NU_IDADE,190004874268,17,int,13.0,77.0
NU_IDADE,190002688603,19,int,13.0,77.0
NU_IDADE,190004079721,29,int,13.0,77.0
NU_IDADE,190005222790,20,int,13.0,77.0
NU_IDADE,190004799769,19,int,13.0,77.0
NU_IDADE,190002655521,23,int,13.0,77.0
NU_IDADE,190004908159,19,int,13.0,77.0
NU_IDADE,190002647749,20,int,13.0,77.0
NU_IDADE,190001692949,22,int,13.0,77.0
NU_IDADE,190002903236,18,int,13.0,77.0
NU_IDADE,190005234792,24,int,13.0,77.0
NU_IDADE,190004892877,38,int,13.0,77.0
NU_IDADE,190001693942,35,int,13.0,77.0
NU_IDADE,190004848187,21,int,13.0,77.0
NU_IDADE,190003843615,20,int,13.0,77.0
NU_IDADE,190004868569,19,int,13.0,77.0
NU_IDADE,190002887511,44,int,13.0,77.0
NU_IDADE,190001696911,33,int,13.0,77.0
NU_IDADE,190001788331,17,int,13.0,77.0
NU_IDADE,190004815506,46,int,13.0,77.0
NU_IDADE,190005950163,23,int,13.0,77.0
NU_IDADE,190004283587,26,int,13.0,77.0
NU_IDADE,190001728595,30,int,13.0,77.0
NU_IDADE,190004796957,20,int,13.0,77.0
NU_IDADE,190001731241,19,int,13.0,77.0
NU_IDADE,190005965749,18,int,13.0,77.0
NU_IDADE,190001767437,20,int,13.0,77.0
NU_IDADE,190005242585,18,int,13.0,77.0
NU_IDADE,190002674786,52,int,13.0,77.0
NU_IDADE,190005969087,13,int,13.0,77.0
NU_IDADE,190004500791,18,int,13.0,77.0
NU_IDADE,190004039646,20,int,13.0,77.0
NU_IDADE,190004296398,26,int,13.0,77.0
NU_IDADE,190001725889,25,int,13.0,77.0
NU_IDADE,190002641499,18,int,13.0,77.0
NU_IDADE,190001686723,19,int,13.0,77.0
NU_IDADE,190001712162,18,int,13.0,77.0
NU_IDADE,190002668920,18,int,13.0,77.0
NU_IDADE,190005809562,22,int,13.0,77.0
NU_IDADE,190002665932,20,int,13.0,77.0
NU_IDADE,190005937754,22,int,13.0,77.0
NU_IDADE,190003830717,19,int,13.0,77.0
