group,variable,value,datatype,min_val,max_val
NU_IDADE,190004889531,22,int,13.0,77.0
NU_IDADE,190004043078,19,int,13.0,77.0
NU_IDADE,190004692994,19,int,13.0,77.0
NU_IDADE,190003836784,16,int,13.0,77.0
NU_IDADE,190005228299,22,int,13.0,77.0
NU_IDADE,190002896801,19,int,13.0,77.0
NU_IDADE,190002890949,22,int,13.0,77.0
NU_IDADE,190004049780,20,int,13.0,77.0
NU_IDADE,190002900050,24,int,13.0,77.0
NU_IDADE,190003360378,62,int,13.0,77.0
NU_IDADE,190002647745,38,int,13.0,77.0
NU_IDADE,190002897351,23,int,13.0,77.0
NU_IDADE,190003827302,24,int,13.0,77.0
NU_IDADE,190001686723,19,int,13.0,77.0
NU_IDADE,190005949921,25,int,13.0,77.0
NU_IDADE,190001701685,18,int,13.0,77.0
NU_IDADE,190002664917,43,int,13.0,77.0
NU_IDADE,190004851331,21,int,13.0,77.0
NU_IDADE,190001730877,25,int,13.0,77.0
NU_IDADE,190004277214,52,int,13.0,77.0
NU_IDADE,190004901849,34,int,13.0,77.0
NU_IDADE,190001738021,21,int,13.0,77.0
NU_IDADE,190001706936,26,int,13.0,77.0
NU_IDADE,190001722232,16,int,13.0,77.0
NU_IDADE,190004769076,19,int,13.0,77.0
NU_IDADE,190005254949,25,int,13.0,77.0
NU_IDADE,190002868385,33,int,13.0,77.0
NU_IDADE,190005246237,20,int,13.0,77.0
NU_IDADE,190005932364,50,int,13.0,77.0
NU_IDADE,190004049794,20,int,13.0,77.0
NU_IDADE,190001729069,19,int,13.0,77.0
NU_IDADE,190004046358,18,int,13.0,77.0
NU_IDADE,190002669115,20,int,13.0,77.0
NU_IDADE,190002672274,28,int,13.0,77.0
NU_IDADE,190005223100,39,int,13.0,77.0
NU_IDADE,190001725677,18,int,13.0,77.0
NU_IDADE,190001704839,20,int,13.0,77.0
NU_IDADE,190005951815,19,int,13.0,77.0
NU_IDADE,190002675618,20,int,13.0,77.0
NU_IDADE,190004815268,36,int,13.0,77.0
NU_IDADE,190005939236,20,int,13.0,77.0
NU_IDADE,190004892860,23,int,13.0,77.0
NU_IDADE,190002900071,40,int,13.0,77.0
NU_IDADE,190005248596,25,int,13.0,77.0
NU_IDADE,190002659101,21,int,13.0,77.0
NU_IDADE,190004824919,17,int,13.0,77.0
NU_IDADE,190005243119,43,int,13.0,77.0
NU_IDADE,190001735290,19,int,13.0,77.0
NU_IDADE,190005930288,33,int,13.0,77.0
NU_IDADE,190004784162,18,int,13.0,77.0
NU_IDADE,190001729664,18,int,13.0,77.0
NU_IDADE,190001764293,18,int,13.0,77.0
NU_IDADE,190005949588,19,int,13.0,77.0
NU_IDADE,190005930360,43,int,13.0,77.0
NU_IDADE,190004892888,21,int,13.0,77.0
NU_IDADE,190005949656,20,int,13.0,77.0
NU_IDADE,190001725028,23,int,13.0,77.0
NU_IDADE,190002658161,20,int,13.0,77.0
NU_IDADE,190001704494,20,int,13.0,77.0
NU_IDADE,190004892667,17,int,13.0,77.0
NU_IDADE,190004787526,17,int,13.0,77.0
NU_IDADE,190004276924,59,int,13.0,77.0
NU_IDADE,190004685991,19,int,13.0,77.0
NU_IDADE,190002688347,25,int,13.0,77.0
NU_IDADE,190004699259,22,int,13.0,77.0
NU_IDADE,190005252099,46,int,13.0,77.0
NU_IDADE,190004475899,17,int,13.0,77.0
NU_IDADE,190002676182,35,int,13.0,77.0
NU_IDADE,190001690432,17,int,13.0,77.0
NU_IDADE,190001743448,25,int,13.0,77.0
NU_IDADE,190002654410,19,int,13.0,77.0
NU_IDADE,190001686378,31,int,13.0,77.0
NU_IDADE,190001721172,18,int,13.0,77.0
NU_IDADE,190002668206,19,int,13.0,77.0
NU_IDADE,190002662282,34,int,13.0,77.0
NU_IDADE,190001717718,20,int,13.0,77.0
NU_IDADE,190004695994,51,int,13.0,77.0
NU_IDADE,190001689482,52,int,13.0,77.0
NU_IDADE,190003830257,18,int,13.0,77.0
NU_IDADE,190001701199,50,int,13.0,77.0
NU_IDADE,190001750586,20,int,13.0,77.0
NU_IDADE,190004257355,46,int,13.0,77.0
NU_IDADE,190001704531,39,int,13.0,77.0
NU_IDADE,190002665812,40,int,13.0,77.0
NU_IDADE,190002659317,24,int,13.0,77.0
NU_IDADE,190002648078,29,int,13.0,77.0
NU_IDADE,190004864973,25,int,13.0,77.0
NU_IDADE,190001693524,24,int,13.0,77.0
NU_IDADE,190004851279,16,int,13.0,77.0
NU_IDADE,190001715009,41,int,13.0,77.0
NU_IDADE,190001687217,19,int,13.0,77.0
NU_IDADE,190005815243,24,int,13.0,77.0
NU_IDADE,190001708225,18,int,13.0,77.0
NU_IDADE,190005947409,44,int,13.0,77.0
NU_IDADE,190001720707,24,int,13.0,77.0
NU_IDADE,190005943506,24,int,13.0,77.0
NU_IDADE,190004793458,21,int,13.0,77.0
NU_IDADE,190004908101,22,int,13.0,77.0
NU_IDADE,190003833880,45,int,13.0,77.0
NU_IDADE,190002686033,21,int,13.0,77.0
NU_IDADE,190002668218,17,int,13.0,77.0
NU_IDADE,190001712162,18,int,13.0,77.0
NU_IDADE,190003846885,50,int,13.0,77.0
NU_IDADE,190004260926,18,int,13.0,77.0
NU_IDADE,190001686419,52,int,13.0,77.0
NU_IDADE,190002658932,24,int,13.0,77.0
NU_IDADE,190002652576,26,int,13.0,77.0
NU_IDADE,190002649086,19,int,13.0,77.0
NU_IDADE,190004886471,18,int,13.0,77.0
NU_IDADE,190001684834,19,int,13.0,77.0
NU_IDADE,190003875676,24,int,13.0,77.0
NU_IDADE,190001711818,18,int,13.0,77.0
NU_IDADE,190001739511,18,int,13.0,77.0
NU_IDADE,190001727901,26,int,13.0,77.0
NU_IDADE,190003866172,17,int,13.0,77.0
NU_IDADE,190001728262,18,int,13.0,77.0
NU_IDADE,190001778020,20,int,13.0,77.0
NU_IDADE,190001718044,18,int,13.0,77.0
NU_IDADE,190005945204,20,int,13.0,77.0
NU_IDADE,190004457225,17,int,13.0,77.0
NU_IDADE,190004895675,48,int,13.0,77.0
NU_IDADE,190004039983,18,int,13.0,77.0
NU_IDADE,190001690225,19,int,13.0,77.0
NU_IDADE,190004475868,17,int,13.0,77.0
NU_IDADE,190003866070,56,int,13.0,77.0
NU_IDADE,190002661934,25,int,13.0,77.0
NU_IDADE,190004905259,18,int,13.0,77.0
NU_IDADE,190002693106,18,int,13.0,77.0
NU_IDADE,190002887696,26,int,13.0,77.0
NU_IDADE,190002658871,20,int,13.0,77.0
NU_IDADE,190005932394,49,int,13.0,77.0
NU_IDADE,190004043159,56,int,13.0,77.0
NU_IDADE,190005969476,20,int,13.0,77.0
NU_IDADE,190001698077,19,int,13.0,77.0
NU_IDADE,190001698087,23,int,13.0,77.0
NU_IDADE,190002641448,22,int,13.0,77.0
NU_IDADE,190001728007,22,int,13.0,77.0
NU_IDADE,190005956457,20,int,13.0,77.0
NU_IDADE,190004867799,35,int,13.0,77.0
NU_IDADE,190001739949,43,int,13.0,77.0
NU_IDADE,190001781408,19,int,13.0,77.0
NU_IDADE,190001743557,38,int,13.0,77.0
NU_IDADE,190005948059,36,int,13.0,77.0
NU_IDADE,190001738018,32,int,13.0,77.0
NU_IDADE,190001706841,27,int,13.0,77.0
NU_IDADE,190004261074,20,int,13.0,77.0
NU_IDADE,190004457857,20,int,13.0,77.0
NU_IDADE,190003853174,22,int,13.0,77.0
NU_IDADE,190005251792,24,int,13.0,77.0
NU_IDADE,190005917942,19,int,13.0,77.0
NU_IDADE,190004073292,17,int,13.0,77.0
NU_IDADE,190005254074,46,int,13.0,77.0
NU_IDADE,190002688885,17,int,13.0,77.0
NU_IDADE,190003846655,17,int,13.0,77.0
NU_IDADE,190004874334,33,int,13.0,77.0
NU_IDADE,190001777709,17,int,13.0,77.0
NU_IDADE,190001718379,19,int,13.0,77.0
NU_IDADE,190005219867,20,int,13.0,77.0
NU_IDADE,190001735891,23,int,13.0,77.0
NU_IDADE,190004892847,53,int,13.0,77.0
NU_IDADE,190002861729,20,int,13.0,77.0
NU_IDADE,190004892877,38,int,13.0,77.0
NU_IDADE,190002679243,39,int,13.0,77.0
NU_IDADE,190003396804,64,int,13.0,77.0
NU_IDADE,190002658251,18,int,13.0,77.0
NU_IDADE,190002645042,24,int,13.0,77.0
NU_IDADE,190005816695,23,int,13.0,77.0
NU_IDADE,190004799769,19,int,13.0,77.0
NU_IDADE,190002655063,22,int,13.0,77.0
NU_IDADE,190002887720,33,int,13.0,77.0
NU_IDADE,190002672824,32,int,13.0,77.0
NU_IDADE,190002641499,18,int,13.0,77.0
NU_IDADE,190001767766,20,int,13.0,77.0
NU_IDADE,190003875463,33,int,13.0,77.0
NU_IDADE,190001704741,23,int,13.0,77.0
NU_IDADE,190003830470,25,int,13.0,77.0
NU_IDADE,190002903188,18,int,13.0,77.0
NU_IDADE,190004796761,19,int,13.0,77.0
NU_IDADE,190001684765,35,int,13.0,77.0
NU_IDADE,190001711833,21,int,13.0,77.0
NU_IDADE,190005937108,26,int,13.0,77.0
NU_IDADE,190004470130,22,int,13.0,77.0
NU_IDADE,190004719148,33,int,13.0,77.0
NU_IDADE,190001728897,28,int,13.0,77.0
NU_IDADE,190001694508,20,int,13.0,77.0
NU_IDADE,190004689345,32,int,13.0,77.0
NU_IDADE,190002692730,26,int,13.0,77.0
NU_IDADE,190005948079,21,int,13.0,77.0
NU_IDADE,190001692918,41,int,13.0,77.0
NU_IDADE,190001686531,21,int,13.0,77.0
NU_IDADE,190005971766,19,int,13.0,77.0
NU_IDADE,190002665344,18,int,13.0,77.0
NU_IDADE,190001686636,18,int,13.0,77.0
NU_IDADE,190004076459,29,int,13.0,77.0
NU_IDADE,190004799962,18,int,13.0,77.0
NU_IDADE,190005958805,17,int,13.0,77.0
NU_IDADE,190003396990,19,int,13.0,77.0
NU_IDADE,190005929668,20,int,13.0,77.0
NU_IDADE,190005210904,20,int,13.0,77.0
NU_IDADE,190001735473,35,int,13.0,77.0
TP_SEXO,190004889531,F,string,1.0,2.0
TP_SEXO,190004043078,M,string,1.0,2.0
TP_SEXO,190004692994,M,string,1.0,2.0
TP_SEXO,190003836784,M,string,1.0,2.0
TP_SEXO,190005228299,M,string,1.0,2.0
TP_SEXO,190002896801,M,string,1.0,2.0
TP_SEXO,190002890949,F,string,1.0,2.0
TP_SEXO,190004049780,F,string,1.0,2.0
TP_SEXO,190002900050,F,string,1.0,2.0
TP_SEXO,190003360378,F,string,1.0,2.0
TP_SEXO,190002647745,M,string,1.0,2.0
TP_SEXO,190002897351,F,string,1.0,2.0
TP_SEXO,190003827302,M,string,1.0,2.0
TP_SEXO,190001686723,F,string,1.0,2.0
TP_SEXO,190005949921,M,string,1.0,2.0
TP_SEXO,190001701685,F,string,1.0,2.0
TP_SEXO,190002664917,F,string,1.0,2.0
TP_SEXO,190004851331,F,string,1.0,2.0
TP_SEXO,190001730877,F,string,1.0,2.0
TP_SEXO,190004277214,F,string,1.0,2.0
TP_SEXO,190004901849,M,string,1.0,2.0
TP_SEXO,190001738021,F,string,1.0,2.0
TP_SEXO,190001706936,F,string,1.0,2.0
TP_SEXO,190001722232,F,string,1.0,2.0
TP_SEXO,190004769076,F,string,1.0,2.0
TP_SEXO,190005254949,F,string,1.0,2.0
TP_SEXO,190002868385,F,string,1.0,2.0
TP_SEXO,190005246237,F,string,1.0,2.0
TP_SEXO,190005932364,M,string,1.0,2.0
TP_SEXO,190004049794,F,string,1.0,2.0
TP_SEXO,190001729069,F,string,1.0,2.0
TP_SEXO,190004046358,F,string,1.0,2.0
TP_SEXO,190002669115,F,string,1.0,2.0
TP_SEXO,190002672274,F,string,1.0,2.0
TP_SEXO,190005223100,F,string,1.0,2.0
