group,variable,value,datatype,min_val,max_val
NU_IDADE,190004870818,21,int,13.0,77.0
NU_IDADE,190002669236,22,int,13.0,77.0
NU_IDADE,190004296262,23,int,13.0,77.0
NU_IDADE,190002677957,18,int,13.0,77.0
NU_IDADE,190004877238,26,int,13.0,77.0
NU_IDADE,190002656022,18,int,13.0,77.0
NU_IDADE,190004911268,18,int,13.0,77.0
NU_IDADE,190004911769,24,int,13.0,77.0
NU_IDADE,190004676411,18,int,13.0,77.0
NU_IDADE,190004479142,30,int,13.0,77.0
NU_IDADE,190005964352,38,int,13.0,77.0
NU_IDADE,190001710823,18,int,13.0,77.0
NU_IDADE,190004039716,17,int,13.0,77.0
NU_IDADE,190004469818,20,int,13.0,77.0
NU_IDADE,190002645843,18,int,13.0,77.0
NU_IDADE,190001688203,20,int,13.0,77.0
NU_IDADE,190004460614,35,int,13.0,77.0
NU_IDADE,190004279944,21,int,13.0,77.0
NU_IDADE,190002648936,29,int,13.0,77.0
NU_IDADE,190003373973,18,int,13.0,77.0
NU_IDADE,190005954868,53,int,13.0,77.0
NU_IDADE,190002674804,19,int,13.0,77.0
NU_IDADE,190002910067,18,int,13.0,77.0
NU_IDADE,190002675877,26,int,13.0,77.0
NU_IDADE,190003830489,19,int,13.0,77.0
NU_IDADE,190002668847,24,int,13.0,77.0
NU_IDADE,190004893094,20,int,13.0,77.0
NU_IDADE,190001732213,20,int,13.0,77.0
NU_IDADE,190002887176,23,int,13.0,77.0
NU_IDADE,190004466571,18,int,13.0,77.0
NU_IDADE,190005240462,40,int,13.0,77.0
NU_IDADE,190001686411,19,int,13.0,77.0
NU_IDADE,190004036500,21,int,13.0,77.0
NU_IDADE,190005217346,24,int,13.0,77.0
NU_IDADE,190001704295,29,int,13.0,77.0
NU_IDADE,190004497624,20,int,13.0,77.0
NU_IDADE,190002874715,19,int,13.0,77.0
NU_IDADE,190001693157,17,int,13.0,77.0
NU_IDADE,190002647781,20,int,13.0,77.0
NU_IDADE,190002659301,17,int,13.0,77.0
NU_IDADE,190004059644,26,int,13.0,77.0
NU_IDADE,190001694300,20,int,13.0,77.0
NU_IDADE,190001686150,21,int,13.0,77.0
NU_IDADE,190001703818,18,int,13.0,77.0
NU_IDADE,190001715000,18,int,13.0,77.0
NU_IDADE,190004046686,18,int,13.0,77.0
NU_IDADE,190002644135,17,int,13.0,77.0
NU_IDADE,190002642361,19,int,13.0,77.0
NU_IDADE,190005219450,29,int,13.0,77.0
NU_IDADE,190003866144,22,int,13.0,77.0
NU_IDADE,190004880154,18,int,13.0,77.0
NU_IDADE,190002674654,16,int,13.0,77.0
NU_IDADE,190004466563,17,int,13.0,77.0
NU_IDADE,190001703889,23,int,13.0,77.0
NU_IDADE,190005959813,20,int,13.0,77.0
NU_IDADE,190003400084,19,int,13.0,77.0
NU_IDADE,190004491493,37,int,13.0,77.0
NU_IDADE,190003400092,17,int,13.0,77.0
NU_IDADE,190002692931,18,int,13.0,77.0
NU_IDADE,190004883317,28,int,13.0,77.0
NU_IDADE,190004812327,20,int,13.0,77.0
NU_IDADE,190002688342,18,int,13.0,77.0
NU_IDADE,190001719229,24,int,13.0,77.0
NU_IDADE,190001736594,20,int,13.0,77.0
NU_IDADE,190001738784,23,int,13.0,77.0
NU_IDADE,190005214190,26,int,13.0,77.0
NU_IDADE,190001788130,23,int,13.0,77.0
NU_IDADE,190005223054,28,int,13.0,77.0
NU_IDADE,190004699427,18,int,13.0,77.0
NU_IDADE,190003396512,22,int,13.0,77.0
NU_IDADE,190002878172,31,int,13.0,77.0
NU_IDADE,190004793509,33,int,13.0,77.0
NU_IDADE,190001713986,22,int,13.0,77.0
NU_IDADE,190004669873,25,int,13.0,77.0
NU_IDADE,190001707730,25,int,13.0,77.0
NU_IDADE,190003875212,18,int,13.0,77.0
NU_IDADE,190002641996,19,int,13.0,77.0
NU_IDADE,190003849858,19,int,13.0,77.0
NU_IDADE,190002865235,18,int,13.0,77.0
NU_IDADE,190001774248,21,int,13.0,77.0
NU_IDADE,190004500973,18,int,13.0,77.0
NU_IDADE,190004774946,17,int,13.0,77.0
NU_IDADE,190005225908,22,int,13.0,77.0
NU_IDADE,190001739601,18,int,13.0,77.0
NU_IDADE,190002906526,20,int,13.0,77.0
NU_IDADE,190001718932,21,int,13.0,77.0
NU_IDADE,190004498320,17,int,13.0,77.0
NU_IDADE,190005955018,25,int,13.0,77.0
NU_IDADE,190001771057,30,int,13.0,77.0
NU_IDADE,190004472616,22,int,13.0,77.0
NU_IDADE,190005925627,18,int,13.0,77.0
NU_IDADE,190004293096,33,int,13.0,77.0
NU_IDADE,190002641259,18,int,13.0,77.0
NU_IDADE,190004482486,18,int,13.0,77.0
NU_IDADE,190005959463,34,int,13.0,77.0
NU_IDADE,190004498240,17,int,13.0,77.0
NU_IDADE,190002874717,25,int,13.0,77.0
NU_IDADE,190001743701,26,int,13.0,77.0
NU_IDADE,190001687545,18,int,13.0,77.0
NU_IDADE,190004880833,24,int,13.0,77.0
NU_IDADE,190001701499,28,int,13.0,77.0
NU_IDADE,190001738988,28,int,13.0,77.0
NU_IDADE,190002685976,21,int,13.0,77.0
NU_IDADE,190002654724,18,int,13.0,77.0
NU_IDADE,190001688237,20,int,13.0,77.0
NU_IDADE,190004069988,19,int,13.0,77.0
NU_IDADE,190001718389,17,int,13.0,77.0
NU_IDADE,190001705192,19,int,13.0,77.0
NU_IDADE,190001760828,19,int,13.0,77.0
NU_IDADE,190004466872,53,int,13.0,77.0
NU_IDADE,190004501119,18,int,13.0,77.0
NU_IDADE,190002688372,21,int,13.0,77.0
NU_IDADE,190003826997,18,int,13.0,77.0
NU_IDADE,190002652001,20,int,13.0,77.0
