group,variable,value,datatype,min_val,max_val
NU_IDADE,190002880720,18,int,13.0,77.0
NU_IDADE,190004491493,37,int,13.0,77.0
NU_IDADE,190002877728,21,int,13.0,77.0
NU_IDADE,190002684936,18,int,13.0,77.0
NU_IDADE,190002874715,19,int,13.0,77.0
NU_IDADE,190001721496,19,int,13.0,77.0
NU_IDADE,190004466563,17,int,13.0,77.0
NU_IDADE,190001694600,18,int,13.0,77.0
NU_IDADE,190004715443,21,int,13.0,77.0
NU_IDADE,190002684831,19,int,13.0,77.0
NU_IDADE,190002669236,22,int,13.0,77.0
NU_IDADE,190005245675,24,int,13.0,77.0
NU_IDADE,190004669821,18,int,13.0,77.0
NU_IDADE,190001760828,19,int,13.0,77.0
NU_IDADE,190005223054,28,int,13.0,77.0
NU_IDADE,190002669211,19,int,13.0,77.0
NU_IDADE,190004679751,18,int,13.0,77.0
NU_IDADE,190005233814,21,int,13.0,77.0
NU_IDADE,190001757253,18,int,13.0,77.0
NU_IDADE,190003393852,18,int,13.0,77.0
NU_IDADE,190004043128,18,int,13.0,77.0
NU_IDADE,190001791527,20,int,13.0,77.0
NU_IDADE,190001694300,20,int,13.0,77.0
NU_IDADE,190004676411,18,int,13.0,77.0
NU_IDADE,190001696804,22,int,13.0,77.0
NU_IDADE,190003830392,22,int,13.0,77.0
NU_IDADE,190004877238,26,int,13.0,77.0
NU_IDADE,190004715818,26,int,13.0,77.0
NU_IDADE,190001788098,19,int,13.0,77.0
NU_IDADE,190004679880,17,int,13.0,77.0
NU_IDADE,190002678039,24,int,13.0,77.0
NU_IDADE,190002874717,25,int,13.0,77.0
NU_IDADE,190001735975,18,int,13.0,77.0
NU_IDADE,190004904970,22,int,13.0,77.0
NU_IDADE,190002655850,23,int,13.0,77.0
NU_IDADE,190001684900,18,int,13.0,77.0
NU_IDADE,190002655382,18,int,13.0,77.0
NU_IDADE,190004482213,19,int,13.0,77.0
NU_IDADE,190004494924,20,int,13.0,77.0
NU_IDADE,190002906894,21,int,13.0,77.0
NU_IDADE,190002656022,18,int,13.0,77.0
NU_IDADE,190005956854,41,int,13.0,77.0
NU_IDADE,190004719111,24,int,13.0,77.0
NU_IDADE,190002897208,19,int,13.0,77.0
NU_IDADE,190005225908,22,int,13.0,77.0
NU_IDADE,190001771057,30,int,13.0,77.0
NU_IDADE,190001725301,22,int,13.0,77.0
NU_IDADE,190004046787,21,int,13.0,77.0
NU_IDADE,190005903400,28,int,13.0,77.0
NU_IDADE,190001701576,18,int,13.0,77.0
NU_IDADE,190002871329,20,int,13.0,77.0
NU_IDADE,190005213975,17,int,13.0,77.0
NU_IDADE,190001713986,22,int,13.0,77.0
NU_IDADE,190004874134,21,int,13.0,77.0
NU_IDADE,190001704825,20,int,13.0,77.0
NU_IDADE,190004059901,20,int,13.0,77.0
NU_IDADE,190004845447,21,int,13.0,77.0
NU_IDADE,190002887445,20,int,13.0,77.0
NU_IDADE,190002672432,25,int,13.0,77.0
NU_IDADE,190002683000,19,int,13.0,77.0
NU_IDADE,190004254497,20,int,13.0,77.0
NU_IDADE,190003866144,22,int,13.0,77.0
NU_IDADE,190004049605,22,int,13.0,77.0
NU_IDADE,190004504146,23,int,13.0,77.0
NU_IDADE,190002906526,20,int,13.0,77.0
NU_IDADE,190002675877,26,int,13.0,77.0
NU_IDADE,190005239831,19,int,13.0,77.0
NU_IDADE,190004460852,22,int,13.0,77.0
NU_IDADE,190002692931,18,int,13.0,77.0
NU_IDADE,190001705143,24,int,13.0,77.0
NU_IDADE,190003846791,18,int,13.0,77.0
NU_IDADE,190002684901,21,int,13.0,77.0
NU_IDADE,190003839984,29,int,13.0,77.0
NU_IDADE,190003875774,24,int,13.0,77.0
NU_IDADE,190001685889,23,int,13.0,77.0
NU_IDADE,190004046220,21,int,13.0,77.0
NU_IDADE,190002659301,17,int,13.0,77.0
NU_IDADE,190002904015,18,int,13.0,77.0
NU_IDADE,190001703833,18,int,13.0,77.0
NU_IDADE,190001693107,23,int,13.0,77.0
NU_IDADE,190001727491,19,int,13.0,77.0
NU_IDADE,190002887176,23,int,13.0,77.0
NU_IDADE,190002686088,19,int,13.0,77.0
NU_IDADE,190005930470,18,int,13.0,77.0
NU_IDADE,190004073164,24,int,13.0,77.0
NU_IDADE,190002674853,18,int,13.0,77.0
NU_IDADE,190004865276,19,int,13.0,77.0
NU_IDADE,190005245983,19,int,13.0,77.0
NU_IDADE,190002655458,18,int,13.0,77.0
NU_IDADE,190004052999,23,int,13.0,77.0
NU_IDADE,190004049714,18,int,13.0,77.0
NU_IDADE,190004046573,35,int,13.0,77.0
NU_IDADE,190001774248,21,int,13.0,77.0
NU_IDADE,190003708400,18,int,13.0,77.0
NU_IDADE,190004896186,21,int,13.0,77.0
NU_IDADE,190002672062,21,int,13.0,77.0
NU_IDADE,190001695280,18,int,13.0,77.0
NU_IDADE,190001788130,23,int,13.0,77.0
NU_IDADE,190001705192,19,int,13.0,77.0
NU_IDADE,190002874361,21,int,13.0,77.0
NU_IDADE,190001722369,19,int,13.0,77.0
NU_IDADE,190001697727,17,int,13.0,77.0
NU_IDADE,190004902502,34,int,13.0,77.0
NU_IDADE,190005915637,18,int,13.0,77.0
NU_IDADE,190004036500,21,int,13.0,77.0
NU_IDADE,190004079719,18,int,13.0,77.0
NU_IDADE,190001704660,18,int,13.0,77.0
NU_IDADE,190004911200,18,int,13.0,77.0
NU_IDADE,190005930119,21,int,13.0,77.0
NU_IDADE,190004289852,43,int,13.0,77.0
NU_IDADE,190001735167,20,int,13.0,77.0
NU_IDADE,190003859819,19,int,13.0,77.0
NU_IDADE,190004289887,29,int,13.0,77.0
NU_IDADE,190001767611,18,int,13.0,77.0
NU_IDADE,190003834058,29,int,13.0,77.0
NU_IDADE,190002640811,19,int,13.0,77.0
NU_IDADE,190004469586,20,int,13.0,77.0
NU_IDADE,190002897552,20,int,13.0,77.0
NU_IDADE,190001700581,20,int,13.0,77.0
NU_IDADE,190004809482,23,int,13.0,77.0
NU_IDADE,190001699906,18,int,13.0,77.0
NU_IDADE,190005251222,37,int,13.0,77.0
NU_IDADE,190002668603,18,int,13.0,77.0
NU_IDADE,190004877159,22,int,13.0,77.0
NU_IDADE,190002651102,20,int,13.0,77.0
NU_IDADE,190004464096,18,int,13.0,77.0
NU_IDADE,190003377129,18,int,13.0,77.0
NU_IDADE,190002659239,47,int,13.0,77.0
NU_IDADE,190004870818,21,int,13.0,77.0
NU_IDADE,190005217346,24,int,13.0,77.0
NU_IDADE,190001711847,18,int,13.0,77.0
NU_IDADE,190001718932,21,int,13.0,77.0
NU_IDADE,190004056426,22,int,13.0,77.0
NU_IDADE,190001732213,20,int,13.0,77.0
NU_IDADE,190002644449,21,int,13.0,77.0
NU_IDADE,190005966199,29,int,13.0,77.0
NU_IDADE,190004702743,30,int,13.0,77.0
NU_IDADE,190004784150,21,int,13.0,77.0
NU_IDADE,190001710823,18,int,13.0,77.0
NU_IDADE,190001788443,20,int,13.0,77.0
NU_IDADE,190004676289,17,int,13.0,77.0
NU_IDADE,190005959396,37,int,13.0,77.0
NU_IDADE,190002903557,19,int,13.0,77.0
NU_IDADE,190004673372,22,int,13.0,77.0
NU_IDADE,190004769094,21,int,13.0,77.0
NU_IDADE,190001724323,21,int,13.0,77.0
NU_IDADE,190002689233,19,int,13.0,77.0
NU_IDADE,190002655721,25,int,13.0,77.0
NU_IDADE,190002900585,50,int,13.0,77.0
NU_IDADE,190004871442,25,int,13.0,77.0
NU_IDADE,190004466354,18,int,13.0,77.0
NU_IDADE,190002685747,25,int,13.0,77.0
NU_IDADE,190002689186,22,int,13.0,77.0
NU_IDADE,190001715320,18,int,13.0,77.0
NU_IDADE,190002865235,18,int,13.0,77.0
NU_IDADE,190002906449,24,int,13.0,77.0
NU_IDADE,190004686211,32,int,13.0,77.0
NU_IDADE,190003396512,22,int,13.0,77.0
NU_IDADE,190002664806,38,int,13.0,77.0
NU_IDADE,190004683100,25,int,13.0,77.0
NU_IDADE,190001700754,20,int,13.0,77.0
NU_IDADE,190005216944,21,int,13.0,77.0
NU_IDADE,190001711303,20,int,13.0,77.0
NU_IDADE,190005240306,21,int,13.0,77.0
NU_IDADE,190001753780,18,int,13.0,77.0
NU_IDADE,190004472616,22,int,13.0,77.0
NU_IDADE,190004812327,20,int,13.0,77.0
NU_IDADE,190004264051,18,int,13.0,77.0
NU_IDADE,190001714254,19,int,13.0,77.0
NU_IDADE,190004472955,18,int,13.0,77.0
NU_IDADE,190005228345,17,int,13.0,77.0
NU_IDADE,190004069988,19,int,13.0,77.0
NU_IDADE,190001732495,18,int,13.0,77.0
NU_IDADE,190001725089,19,int,13.0,77.0
NU_IDADE,190004784364,40,int,13.0,77.0
NU_IDADE,190004260532,25,int,13.0,77.0
NU_IDADE,190001686411,19,int,13.0,77.0
NU_IDADE,190004049645,17,int,13.0,77.0
NU_IDADE,190002647781,20,int,13.0,77.0
NU_IDADE,190005959813,20,int,13.0,77.0
NU_IDADE,190001727759,44,int,13.0,77.0
NU_IDADE,190004877209,32,int,13.0,77.0
NU_IDADE,190002675972,18,int,13.0,77.0
NU_IDADE,190003853041,19,int,13.0,77.0
NU_IDADE,190001703148,19,int,13.0,77.0
NU_IDADE,190002647874,19,int,13.0,77.0
NU_IDADE,190001697458,24,int,13.0,77.0
NU_IDADE,190001718709,20,int,13.0,77.0
NU_IDADE,190002657908,28,int,13.0,77.0
NU_IDADE,190003866374,24,int,13.0,77.0
NU_IDADE,190001732082,18,int,13.0,77.0
NU_IDADE,190004901856,16,int,13.0,77.0
NU_IDADE,190004699522,34,int,13.0,77.0
NU_IDADE,190003830538,17,int,13.0,77.0
NU_IDADE,190002881425,19,int,13.0,77.0
NU_IDADE,190003396564,18,int,13.0,77.0
NU_IDADE,190004059909,22,int,13.0,77.0
NU_IDADE,190004503967,18,int,13.0,77.0
NU_IDADE,190003396729,20,int,13.0,77.0
NU_IDADE,190004902553,19,int,13.0,77.0
TP_SEXO,190002880720,M,string,1.0,2.0
TP_SEXO,190004491493,M,string,1.0,2.0
TP_SEXO,190002877728,M,string,1.0,2.0
TP_SEXO,190002684936,M,string,1.0,2.0
TP_SEXO,190002874715,F,string,1.0,2.0
TP_SEXO,190001721496,M,string,1.0,2.0
TP_SEXO,190004466563,M,string,1.0,2.0
TP_SEXO,190001694600,M,string,1.0,2.0
TP_SEXO,190004715443,F,string,1.0,2.0
TP_SEXO,190002684831,M,string,1.0,2.0
TP_SEXO,190002669236,F,string,1.0,2.0
TP_SEXO,190005245675,F,string,1.0,2.0
TP_SEXO,190004669821,M,string,1.0,2.0
TP_SEXO,190001760828,F,string,1.0,2.0
TP_SEXO,190005223054,M,string,1.0,2.0
TP_SEXO,190002669211,F,string,1.0,2.0
TP_SEXO,190004679751,F,string,1.0,2.0
TP_SEXO,190005233814,M,string,1.0,2.0
TP_SEXO,190001757253,F,string,1.0,2.0
