group,variable,value,datatype,min_val,max_val
NU_IDADE,190001781252,23,int,13.0,77.0
NU_IDADE,190002675877,26,int,13.0,77.0
NU_IDADE,190001732396,18,int,13.0,77.0
NU_IDADE,190003705320,20,int,13.0,77.0
NU_IDADE,190004283743,24,int,13.0,77.0
NU_IDADE,190004893094,20,int,13.0,77.0
NU_IDADE,190001710056,19,int,13.0,77.0
NU_IDADE,190002900327,21,int,13.0,77.0
NU_IDADE,190002874715,19,int,13.0,77.0
NU_IDADE,190001705117,22,int,13.0,77.0
NU_IDADE,190003866144,22,int,13.0,77.0
NU_IDADE,190002678952,22,int,13.0,77.0
NU_IDADE,190002881551,18,int,13.0,77.0
NU_IDADE,190004676411,18,int,13.0,77.0
NU_IDADE,190005240462,40,int,13.0,77.0
NU_IDADE,190003856644,22,int,13.0,77.0
NU_IDADE,190004712291,21,int,13.0,77.0
NU_IDADE,190001730951,46,int,13.0,77.0
NU_IDADE,190001721496,19,int,13.0,77.0
NU_IDADE,190005963408,25,int,13.0,77.0
NU_IDADE,190004851219,23,int,13.0,77.0
NU_IDADE,190002692931,18,int,13.0,77.0
NU_IDADE,190002659325,19,int,13.0,77.0
NU_IDADE,190001795103,18,int,13.0,77.0
NU_IDADE,190002878172,31,int,13.0,77.0
NU_IDADE,190001704214,18,int,13.0,77.0
NU_IDADE,190005961504,30,int,13.0,77.0
NU_IDADE,190002686129,18,int,13.0,77.0
NU_IDADE,190004696208,17,int,13.0,77.0
NU_IDADE,190004279944,21,int,13.0,77.0
NU_IDADE,190004911268,18,int,13.0,77.0
NU_IDADE,190002661862,31,int,13.0,77.0
NU_IDADE,190005246144,19,int,13.0,77.0
NU_IDADE,190001788098,19,int,13.0,77.0
NU_IDADE,190001711372,20,int,13.0,77.0
NU_IDADE,190004889636,25,int,13.0,77.0
NU_IDADE,190003394068,17,int,13.0,77.0
NU_IDADE,190002871329,20,int,13.0,77.0
NU_IDADE,190001722082,17,int,13.0,77.0
NU_IDADE,190004073164,24,int,13.0,77.0
NU_IDADE,190004059644,26,int,13.0,77.0
NU_IDADE,190002669236,22,int,13.0,77.0
NU_IDADE,190002662805,19,int,13.0,77.0
NU_IDADE,190001725848,20,int,13.0,77.0
NU_IDADE,190004771953,22,int,13.0,77.0
NU_IDADE,190004689405,21,int,13.0,77.0
NU_IDADE,190004784364,40,int,13.0,77.0
NU_IDADE,190003869483,19,int,13.0,77.0
NU_IDADE,190003859472,32,int,13.0,77.0
NU_IDADE,190001735282,18,int,13.0,77.0
NU_IDADE,190001760828,19,int,13.0,77.0
NU_IDADE,190004676549,17,int,13.0,77.0
NU_IDADE,190002675972,18,int,13.0,77.0
NU_IDADE,190002684901,21,int,13.0,77.0
NU_IDADE,190004473043,24,int,13.0,77.0
NU_IDADE,190004482637,21,int,13.0,77.0
NU_IDADE,190004267205,33,int,13.0,77.0
NU_IDADE,190004466563,17,int,13.0,77.0
NU_IDADE,190003396729,20,int,13.0,77.0
NU_IDADE,190005222569,27,int,13.0,77.0
NU_IDADE,190001704944,17,int,13.0,77.0
NU_IDADE,190002641011,17,int,13.0,77.0
NU_IDADE,190004494488,18,int,13.0,77.0
NU_IDADE,190004699427,18,int,13.0,77.0
NU_IDADE,190005905883,25,int,13.0,77.0
NU_IDADE,190004479579,42,int,13.0,77.0
NU_IDADE,190001717045,20,int,13.0,77.0
NU_IDADE,190004069988,19,int,13.0,77.0
NU_IDADE,190002655481,22,int,13.0,77.0
NU_IDADE,190002679237,21,int,13.0,77.0
NU_IDADE,190004470011,17,int,13.0,77.0
NU_IDADE,190005952468,16,int,13.0,77.0
NU_IDADE,190004276808,21,int,13.0,77.0
NU_IDADE,190001770988,21,int,13.0,77.0
NU_IDADE,190005920531,25,int,13.0,77.0
NU_IDADE,190005959854,23,int,13.0,77.0
NU_IDADE,190001757203,19,int,13.0,77.0
NU_IDADE,190004864523,19,int,13.0,77.0
NU_IDADE,190004777996,20,int,13.0,77.0
NU_IDADE,190005240644,29,int,13.0,77.0
NU_IDADE,190005925627,18,int,13.0,77.0
NU_IDADE,190001705173,20,int,13.0,77.0
NU_IDADE,190005934670,25,int,13.0,77.0
NU_IDADE,190002658524,28,int,13.0,77.0
NU_IDADE,190002881496,18,int,13.0,77.0
NU_IDADE,190004043128,18,int,13.0,77.0
NU_IDADE,190004040190,18,int,13.0,77.0
NU_IDADE,190004895907,16,int,13.0,77.0
NU_IDADE,190004083091,18,int,13.0,77.0
NU_IDADE,190004488344,19,int,13.0,77.0
NU_IDADE,190002661951,19,int,13.0,77.0
NU_IDADE,190004469818,20,int,13.0,77.0
NU_IDADE,190004280494,31,int,13.0,77.0
NU_IDADE,190001712042,18,int,13.0,77.0
NU_IDADE,190001757253,18,int,13.0,77.0
NU_IDADE,190004260532,25,int,13.0,77.0
NU_IDADE,190002668847,24,int,13.0,77.0
NU_IDADE,190004686336,20,int,13.0,77.0
NU_IDADE,190004712226,22,int,13.0,77.0
NU_IDADE,190001689672,18,int,13.0,77.0
NU_IDADE,190004036471,18,int,13.0,77.0
NU_IDADE,190004257513,21,int,13.0,77.0
NU_IDADE,190002656022,18,int,13.0,77.0
NU_IDADE,190002906895,18,int,13.0,77.0
NU_IDADE,190004273771,21,int,13.0,77.0
NU_IDADE,190005930455,16,int,13.0,77.0
NU_IDADE,190004464096,18,int,13.0,77.0
NU_IDADE,190002645487,22,int,13.0,77.0
NU_IDADE,190002655850,23,int,13.0,77.0
NU_IDADE,190001711847,18,int,13.0,77.0
NU_IDADE,190001715594,17,int,13.0,77.0
NU_IDADE,190005228574,18,int,13.0,77.0
NU_IDADE,190005251176,20,int,13.0,77.0
NU_IDADE,190002903298,27,int,13.0,77.0
NU_IDADE,190001686411,19,int,13.0,77.0
NU_IDADE,190004049911,18,int,13.0,77.0
NU_IDADE,190004809410,37,int,13.0,77.0
NU_IDADE,190004460614,35,int,13.0,77.0
NU_IDADE,190001718389,17,int,13.0,77.0
NU_IDADE,190004086487,18,int,13.0,77.0
NU_IDADE,190004905117,26,int,13.0,77.0
NU_IDADE,190003397187,19,int,13.0,77.0
NU_IDADE,190004270332,18,int,13.0,77.0
NU_IDADE,190002667902,18,int,13.0,77.0
NU_IDADE,190001714315,23,int,13.0,77.0
NU_IDADE,190004040203,20,int,13.0,77.0
NU_IDADE,190004769094,21,int,13.0,77.0
NU_IDADE,190005245675,24,int,13.0,77.0
NU_IDADE,190001711478,30,int,13.0,77.0
NU_IDADE,190001701312,20,int,13.0,77.0
NU_IDADE,190005954706,45,int,13.0,77.0
NU_IDADE,190001697302,19,int,13.0,77.0
NU_IDADE,190001788130,23,int,13.0,77.0
NU_IDADE,190002651256,17,int,13.0,77.0
NU_IDADE,190002652001,20,int,13.0,77.0
NU_IDADE,190001715706,18,int,13.0,77.0
NU_IDADE,190002906449,24,int,13.0,77.0
NU_IDADE,190001738784,23,int,13.0,77.0
NU_IDADE,190001767611,18,int,13.0,77.0
NU_IDADE,190003846391,17,int,13.0,77.0
NU_IDADE,190004883509,18,int,13.0,77.0
NU_IDADE,190004877238,26,int,13.0,77.0
NU_IDADE,190004699578,18,int,13.0,77.0
NU_IDADE,190002894162,18,int,13.0,77.0
NU_IDADE,190004864525,17,int,13.0,77.0
NU_IDADE,190004808964,20,int,13.0,77.0
NU_IDADE,190004715800,20,int,13.0,77.0
NU_IDADE,190001738248,21,int,13.0,77.0
NU_IDADE,190004248188,27,int,13.0,77.0
NU_IDADE,190001708421,19,int,13.0,77.0
NU_IDADE,190002658753,21,int,13.0,77.0
NU_IDADE,190001707730,25,int,13.0,77.0
NU_IDADE,190002645184,25,int,13.0,77.0
NU_IDADE,190002642361,19,int,13.0,77.0
NU_IDADE,190002679489,26,int,13.0,77.0
NU_IDADE,190001690564,18,int,13.0,77.0
NU_IDADE,190001739948,34,int,13.0,77.0
NU_IDADE,190004771588,17,int,13.0,77.0
NU_IDADE,190004056332,19,int,13.0,77.0
NU_IDADE,190006099760,22,int,13.0,77.0
NU_IDADE,190002679654,33,int,13.0,77.0
NU_IDADE,190002887445,20,int,13.0,77.0
NU_IDADE,190005217346,24,int,13.0,77.0
NU_IDADE,190004501148,45,int,13.0,77.0
NU_IDADE,190004296480,19,int,13.0,77.0
NU_IDADE,190003850164,21,int,13.0,77.0
NU_IDADE,190004778080,18,int,13.0,77.0
NU_IDADE,190002692057,23,int,13.0,77.0
NU_IDADE,190003379912,18,int,13.0,77.0
NU_IDADE,190003834058,29,int,13.0,77.0
NU_IDADE,190001732982,17,int,13.0,77.0
NU_IDADE,190001697375,20,int,13.0,77.0
NU_IDADE,190004475938,23,int,13.0,77.0
NU_IDADE,190005246395,29,int,13.0,77.0
NU_IDADE,190005968931,17,int,13.0,77.0
NU_IDADE,190001729297,17,int,13.0,77.0
NU_IDADE,190002689186,22,int,13.0,77.0
NU_IDADE,190002877847,39,int,13.0,77.0
NU_IDADE,190004719111,24,int,13.0,77.0
NU_IDADE,190002674804,19,int,13.0,77.0
NU_IDADE,190004504382,20,int,13.0,77.0
NU_IDADE,190003840416,30,int,13.0,77.0
NU_IDADE,190004886988,18,int,13.0,77.0
NU_IDADE,190004457388,17,int,13.0,77.0
NU_IDADE,190002909779,19,int,13.0,77.0
NU_IDADE,190002644360,18,int,13.0,77.0
NU_IDADE,190005975697,19,int,13.0,77.0
NU_IDADE,190005975207,36,int,13.0,77.0
NU_IDADE,190002890589,19,int,13.0,77.0
NU_IDADE,190001693157,17,int,13.0,77.0
NU_IDADE,190002655698,18,int,13.0,77.0
NU_IDADE,190001791848,21,int,13.0,77.0
NU_IDADE,190005225998,27,int,13.0,77.0
NU_IDADE,190002650957,23,int,13.0,77.0
NU_IDADE,190005930119,21,int,13.0,77.0
NU_IDADE,190002645843,18,int,13.0,77.0
NU_IDADE,190002883826,19,int,13.0,77.0
NU_IDADE,190002900585,50,int,13.0,77.0
NU_IDADE,190004263731,18,int,13.0,77.0
NU_IDADE,190002647781,20,int,13.0,77.0
TP_SEXO,190001781252,F,string,1.0,2.0
TP_SEXO,190002675877,F,string,1.0,2.0
TP_SEXO,190001732396,M,string,1.0,2.0
TP_SEXO,190003705320,M,string,1.0,2.0
TP_SEXO,190004283743,F,string,1.0,2.0
TP_SEXO,190004893094,M,string,1.0,2.0
TP_SEXO,190001710056,M,string,1.0,2.0
TP_SEXO,190002900327,M,string,1.0,2.0
TP_SEXO,190002874715,F,string,1.0,2.0
TP_SEXO,190001705117,F,string,1.0,2.0
TP_SEXO,190003866144,F,string,1.0,2.0
TP_SEXO,190002678952,F,string,1.0,2.0
TP_SEXO,190002881551,F,string,1.0,2.0
TP_SEXO,190004676411,F,string,1.0,2.0
TP_SEXO,190005240462,M,string,1.0,2.0
TP_SEXO,190003856644,M,string,1.0,2.0
TP_SEXO,190004712291,M,string,1.0,2.0
TP_SEXO,190001730951,F,string,1.0,2.0
TP_SEXO,190001721496,M,string,1.0,2.0
TP_SEXO,190005963408,F,string,1.0,2.0
TP_SEXO,190004851219,M,string,1.0,2.0
TP_SEXO,190002692931,M,string,1.0,2.0
TP_SEXO,190002659325,F,string,1.0,2.0
TP_SEXO,190001795103,F,string,1.0,2.0
TP_SEXO,190002878172,F,string,1.0,2.0
TP_SEXO,190001704214,F,string,1.0,2.0
TP_SEXO,190005961504,F,string,1.0,2.0
TP_SEXO,190002686129,F,string,1.0,2.0
TP_SEXO,190004696208,M,string,1.0,2.0
TP_SEXO,190004279944,M,string,1.0,2.0
TP_SEXO,190004911268,M,string,1.0,2.0
TP_SEXO,190002661862,M,string,1.0,2.0
TP_SEXO,190005246144,M,string,1.0,2.0
TP_SEXO,190001788098,M,string,1.0,2.0
TP_SEXO,190001711372,M,string,1.0,2.0
TP_SEXO,190004889636,F,string,1.0,2.0
TP_SEXO,190003394068,M,string,1.0,2.0
TP_SEXO,190002871329,F,string,1.0,2.0
TP_SEXO,190001722082,F,string,1.0,2.0
TP_SEXO,190004073164,F,string,1.0,2.0
TP_SEXO,190004059644,M,string,1.0,2.0
TP_SEXO,190002669236,F,string,1.0,2.0
TP_SEXO,190002662805,F,string,1.0,2.0
TP_SEXO,190001725848,F,string,1.0,2.0
TP_SEXO,190004771953,M,string,1.0,2.0
TP_SEXO,190004689405,M,string,1.0,2.0
TP_SEXO,190004784364,M,string,1.0,2.0
TP_SEXO,190003869483,F,string,1.0,2.0
TP_SEXO,190003859472,M,string,1.0,2.0
TP_SEXO,190001735282,F,string,1.0,2.0
TP_SEXO,190001760828,F,string,1.0,2.0
TP_SEXO,190004676549,M,string,1.0,2.0
TP_SEXO,190002675972,M,string,1.0,2.0
TP_SEXO,190002684901,M,string,1.0,2.0
TP_SEXO,190004473043,M,string,1.0,2.0
TP_SEXO,190004482637,F,string,1.0,2.0
TP_SEXO,190004267205,M,string,1.0,2.0
TP_SEXO,190004466563,M,string,1.0,2.0
TP_SEXO,190003396729,F,string,1.0,2.0
TP_SEXO,190005222569,F,string,1.0,2.0
TP_SEXO,190001704944,F,string,1.0,2.0
TP_SEXO,190002641011,F,string,1.0,2.0
TP_SEXO,190004494488,M,string,1.0,2.0
TP_SEXO,190004699427,F,string,1.0,2.0
TP_SEXO,190005905883,M,string,1.0,2.0
TP_SEXO,190004479579,F,string,1.0,2.0
TP_SEXO,190001717045,M,string,1.0,2.0
TP_SEXO,190004069988,M,string,1.0,2.0
TP_SEXO,190002655481,M,string,1.0,2.0
TP_SEXO,190002679237,F,string,1.0,2.0
TP_SEXO,190004470011,F,string,1.0,2.0
TP_SEXO,190005952468,F,string,1.0,2.0
TP_SEXO,190004276808,F,string,1.0,2.0
TP_SEXO,190001770988,F,string,1.0,2.0
TP_SEXO,190005920531,F,string,1.0,2.0
TP_SEXO,190005959854,F,string,1.0,2.0
TP_SEXO,190001757203,F,string,1.0,2.0
TP_SEXO,190004864523,M,string,1.0,2.0
TP_SEXO,190004777996,M,string,1.0,2.0
TP_SEXO,190005240644,F,string,1.0,2.0
TP_SEXO,190005925627,M,string,1.0,2.0
TP_SEXO,190001705173,F,string,1.0,2.0
TP_SEXO,190005934670,F,string,1.0,2.0
TP_SEXO,190002658524,M,string,1.0,2.0
TP_SEXO,190002881496,F,string,1.0,2.0
TP_SEXO,190004043128,M,string,1.0,2.0
TP_SEXO,190004040190,F,string,1.0,2.0
TP_SEXO,190004895907,M,string,1.0,2.0
TP_SEXO,190004083091,M,string,1.0,2.0
TP_SEXO,190004488344,M,string,1.0,2.0
TP_SEXO,190002661951,F,string,1.0,2.0
TP_SEXO,190004469818,F,string,1.0,2.0
TP_SEXO,190004280494,F,string,1.0,2.0
TP_SEXO,190001712042,M,string,1.0,2.0
TP_SEXO,190001757253,F,string,1.0,2.0
TP_SEXO,190004260532,F,string,1.0,2.0
TP_SEXO,190002668847,F,string,1.0,2.0
TP_SEXO,190004686336,F,string,1.0,2.0
TP_SEXO,190004712226,F,string,1.0,2.0
TP_SEXO,190001689672,M,string,1.0,2.0
TP_SEXO,190004036471,M,string,1.0,2.0
TP_SEXO,190004257513,F,string,1.0,2.0
TP_SEXO,190002656022,M,string,1.0,2.0
TP_SEXO,190002906895,F,string,1.0,2.0
TP_SEXO,190004273771,F,string,1.0,2.0
TP_SEXO,190005930455,M,string,1.0,2.0
TP_SEXO,190004464096,M,string,1.0,2.0
TP_SEXO,190002645487,F,string,1.0,2.0
TP_SEXO,190002655850,M,string,1.0,2.0
TP_SEXO,190001711847,M,string,1.0,2.0
TP_SEXO,190001715594,F,string,1.0,2.0
TP_SEXO,190005228574,F,string,1.0,2.0
TP_SEXO,190005251176,F,string,1.0,2.0
TP_SEXO,190002903298,F,string,1.0,2.0
TP_SEXO,190001686411,M,string,1.0,2.0
TP_SEXO,190004049911,M,string,1.0,2.0
TP_SEXO,190004809410,F,string,1.0,2.0
TP_SEXO,190004460614,M,string,1.0,2.0
TP_SEXO,190001718389,F,string,1.0,2.0
TP_SEXO,190004086487,F,string,1.0,2.0
TP_SEXO,190004905117,M,string,1.0,2.0
TP_SEXO,190003397187,F,string,1.0,2.0
TP_SEXO,190004270332,M,string,1.0,2.0
TP_SEXO,190002667902,F,string,1.0,2.0
TP_SEXO,190001714315,F,string,1.0,2.0
TP_SEXO,190004040203,F,string,1.0,2.0
TP_SEXO,190004769094,M,string,1.0,2.0
TP_SEXO,190005245675,F,string,1.0,2.0
TP_SEXO,190001711478,F,string,1.0,2.0
TP_SEXO,190001701312,F,string,1.0,2.0
TP_SEXO,190005954706,M,string,1.0,2.0
TP_SEXO,190001697302,M,string,1.0,2.0
TP_SEXO,190001788130,M,string,1.0,2.0
TP_SEXO,190002651256,F,string,1.0,2.0
TP_SEXO,190002652001,F,string,1.0,2.0
TP_SEXO,190001715706,F,string,1.0,2.0
TP_SEXO,190002906449,F,string,1.0,2.0
TP_SEXO,190001738784,F,string,1.0,2.0
TP_SEXO,190001767611,M,string,1.0,2.0
TP_SEXO,190003846391,M,string,1.0,2.0
TP_SEXO,190004883509,M,string,1.0,2.0
TP_SEXO,190004877238,F,string,1.0,2.0
TP_SEXO,190004699578,F,string,1.0,2.0
TP_SEXO,190002894162,M,string,1.0,2.0
TP_SEXO,190004864525,M,string,1.0,2.0
TP_SEXO,190004808964,M,string,1.0,2.0
TP_SEXO,190004715800,F,string,1.0,2.0
TP_SEXO,190001738248,F,string,1.0,2.0
TP_SEXO,190004248188,F,string,1.0,2.0
TP_SEXO,190001708421,F,string,1.0,2.0
TP_SEXO,190002658753,F,string,1.0,2.0
TP_SEXO,190001707730,F,string,1.0,2.0
TP_SEXO,190002645184,F,string,1.0,2.0
TP_SEXO,190002642361,F,string,1.0,2.0
TP_SEXO,190002679489,F,string,1.0,2.0
TP_SEXO,190001690564,F,string,1.0,2.0
TP_SEXO,190001739948,F,string,1.0,2.0
TP_SEXO,190004771588,M,string,1.0,2.0
TP_SEXO,190004056332,M,string,1.0,2.0
TP_SEXO,190006099760,F,string,1.0,2.0
TP_SEXO,190002679654,F,string,1.0,2.0
TP_SEXO,190002887445,F,string,1.0,2.0
TP_SEXO,190005217346,M,string,1.0,2.0
TP_SEXO,190004501148,M,string,1.0,2.0
TP_SEXO,190004296480,M,string,1.0,2.0
TP_SEXO,190003850164,F,string,1.0,2.0
TP_SEXO,190004778080,M,string,1.0,2.0
TP_SEXO,190002692057,F,string,1.0,2.0
