group,variable,value,datatype,min_val,max_val
IDADE,190005950640,35,int,13.0,77.0
IDADE,190004043128,18,int,13.0,77.0
IDADE,190005213975,17,int,13.0,77.0
IDADE,190005797304,20,int,13.0,77.0
IDADE,190005930470,18,int,13.0,77.0
IDADE,190001696804,22,int,13.0,77.0
IDADE,190004083192,18,int,13.0,77.0
IDADE,190001694600,18,int,13.0,77.0
IDADE,190004679880,17,int,13.0,77.0
IDADE,190004276796,19,int,13.0,77.0
IDADE,190001721496,19,int,13.0,77.0
IDADE,190001795103,18,int,13.0,77.0
IDADE,190001701499,28,int,13.0,77.0
IDADE,190002669236,22,int,13.0,77.0
IDADE,190004466563,17,int,13.0,77.0
IDADE,190005971860,16,int,13.0,77.0
IDADE,190001694419,17,int,13.0,77.0
IDADE,190004469586,20,int,13.0,77.0
IDADE,190004676289,17,int,13.0,77.0
IDADE,190005233950,17,int,13.0,77.0
IDADE,190005239956,18,int,13.0,77.0
IDADE,190004264051,18,int,13.0,77.0
IDADE,190002685523,18,int,13.0,77.0
IDADE,190004040079,18,int,13.0,77.0
IDADE,190002669211,19,int,13.0,77.0
IDADE,190001710616,18,int,13.0,77.0
IDADE,190002689084,18,int,13.0,77.0
IDADE,190005225554,21,int,13.0,77.0
IDADE,190002651102,20,int,13.0,77.0
IDADE,190004901856,16,int,13.0,77.0
IDADE,190001693157,17,int,13.0,77.0
IDADE,190004036500,21,int,13.0,77.0
IDADE,190001711303,20,int,13.0,77.0
IDADE,190004289852,43,int,13.0,77.0
IDADE,190004683100,25,int,13.0,77.0
IDADE,190004503876,16,int,13.0,77.0
IDADE,190004494930,21,int,13.0,77.0
IDADE,190004479219,17,int,13.0,77.0
IDADE,190002648272,22,int,13.0,77.0
IDADE,190004079719,18,int,13.0,77.0
IDADE,190004488807,18,int,13.0,77.0
IDADE,190002880720,18,int,13.0,77.0
IDADE,190002675631,17,int,13.0,77.0
IDADE,190004494455,18,int,13.0,77.0
IDADE,190002874715,19,int,13.0,77.0
IDADE,190001767429,17,int,13.0,77.0
IDADE,190002881425,19,int,13.0,77.0
IDADE,190004862895,18,int,13.0,77.0
IDADE,190002894129,24,int,13.0,77.0
IDADE,190003862385,18,int,13.0,77.0
IDADE,190004261146,21,int,13.0,77.0
IDADE,190002669094,18,int,13.0,77.0
IDADE,190004069988,19,int,13.0,77.0
IDADE,190002893949,25,int,13.0,77.0
IDADE,190001788098,19,int,13.0,77.0
IDADE,190003708400,18,int,13.0,77.0
IDADE,190002678248,18,int,13.0,77.0
IDADE,190001788130,23,int,13.0,77.0
IDADE,190004469818,20,int,13.0,77.0
IDADE,190001684900,18,int,13.0,77.0
IDADE,190002650897,20,int,13.0,77.0
IDADE,190001729113,19,int,13.0,77.0
IDADE,190002655382,18,int,13.0,77.0
IDADE,190002655850,23,int,13.0,77.0
IDADE,190004501148,45,int,13.0,77.0
IDADE,190002897208,19,int,13.0,77.0
IDADE,190002684936,18,int,13.0,77.0
